title1,title2
621,914.53
842,528.06
64,295.2
333,645.33
633,235.73
843,446.03
654,715.2
245,960.45
782,41.83
413,261.29
753,3.3
777,127.4
883,402.64
308,16.49
828,784.79
902,706.64
17,741.11
971,318.51
672,858.19
277,196.98
249,372.78
871,922.38
416,386.52
34,576.79
959,485.69
199,365.08
820,19.56
727,129.04
681,68.2
723,306.27
258,50.71
704,137.15
825,912.58
974,502.13
248,695.62
813,977.91
1000,225.86
722,785.87
441,633.82
107,297.9
41,676.23
933,378.27
544,720.13
918,40.88
685,612.84
22,596.57
262,512.54
310,490.22
708,467.38
930,195.95
88,92.75
19,194.45
699,281.72
986,94.59
900,403.39
454,11.35
435,506.61
142,581.18
202,350.51
512,748.52
702,525.7
692,264.28
777,972.77
954,793.79
843,585.32
475,189.69
902,218.51
794,505.66
906,770.57
268,303.15
899,737.75
836,328.46
500,883.66
485,468.4
641,779.11
985,331.07
687,12.49
812,838.69
311,540.87
942,943.18
784,43.67
595,794.11
547,216.43
848,788.06
393,750.8
589,453.79
906,409.52
995,338.45
787,45.35
669,864.4
576,921.37
430,788.28
94,190.34
531,244.86
358,677.44
767,285.66
205,74.84
636,730.83
716,513.86
365,402.7
